time_s,fly_1_x_mm,fly_1_y_mm,fly_1_z_mm,fly_2_x_mm,fly_2_y_mm,fly_2_z_mm
6.701000000000000290e-01,8.693493959353517653e+00,-8.662740188343842629e-01,1.168523283712192606e+00,9.257304805457403418e+00,2.666337997296064799e+00,1.090830209923364436e+00
6.801000000000000378e-01,8.821140022537848679e+00,-9.553015019125288276e-01,1.112450453569389097e+00,9.308558798061962847e+00,2.550343069665673035e+00,1.172962675364188190e+00
6.901000000000000467e-01,9.047215438767862494e+00,-1.035831400828282067e+00,1.113776249908477789e+00,9.406110017636613918e+00,2.425755545293955873e+00,1.123225201757172442e+00
7.001000000000000556e-01,9.271664325374963767e+00,-1.060735047868875514e+00,1.082684180187252210e+00,9.566156864483351896e+00,2.310702118164007501e+00,1.097527531868824680e+00
7.101000000000000645e-01,9.315906817223856606e+00,-9.347826926775330003e-01,1.170891026469949914e+00,9.766571651496496642e+00,2.177968448953055525e+00,1.078455115136489617e+00
7.201000000000000734e-01,9.391625750451215282e+00,-7.984798874806307012e-01,1.124935950157667675e+00,9.873830609790951840e+00,2.287231985404498236e+00,1.160665025790705407e+00
7.301000000000000822e-01,9.525939241904408661e+00,-6.759995909975196060e-01,1.091190873773309367e+00,9.978522999299810792e+00,2.404130527139885842e+00,1.133841597821664937e+00
7.400999999999999801e-01,9.700872413636965064e+00,-5.038980114018175582e-01,1.079503538062713819e+00,1.012810227885939796e+01,2.474544244400000981e+00,1.091343926383490981e+00
7.500999999999999890e-01,9.836397191921410155e+00,-5.956791779565366873e-01,1.157848894734627265e+00,1.035426249967012780e+01,2.628956074315685232e+00,1.080086136563779053e+00
7.600999999999999979e-01,9.950579657982236981e+00,-7.014408238341320878e-01,1.140262689084131420e+00,1.048665478906652204e+01,2.494897633079751653e+00,1.158070958609005219e+00
7.701000000000000068e-01,1.010196090516703649e+01,-7.477705898083494285e-01,1.092813254397041467e+00,1.054547399977000310e+01,2.371039500660232502e+00,1.150089307158620455e+00
7.801000000000000156e-01,1.035857961665494820e+01,-8.861534354628235466e-01,1.081955843479148305e+00,1.065420914999191915e+01,2.287405804825021427e+00,1.081309450194779975e+00
7.901000000000000245e-01,1.048452243669061090e+01,-7.321441825419054972e-01,1.157298833304646779e+00,1.085771419174935204e+01,2.080808220388638663e+00,1.085559910924777771e+00
8.001000000000000334e-01,1.051685873561064177e+01,-6.077406441724623187e-01,1.154916712668757839e+00,1.104608157243499988e+01,2.173118009955575136e+00,1.138189024636343971e+00
8.101000000000000423e-01,1.060041722484722904e+01,-5.122408010794432531e-01,1.082458960298801731e+00,1.109856556722111343e+01,2.286265892936148791e+00,1.160322546355070594e+00
8.201000000000000512e-01,1.077987131564794510e+01,-2.784419462283559965e-01,1.089333240481490606e+00,1.119790749777847871e+01,2.354842918279777653e+00,1.090213682112906035e+00
8.301000000000000600e-01,1.098501107231347973e+01,-3.341961696835805129e-01,1.130854556324955240e+00,1.145256550623879654e+01,2.525949723233751776e+00,1.102695822756707633e+00
8.401000000000000689e-01,1.104442473957780813e+01,-4.417590943368056577e-01,1.162833351707402096e+00,1.164890480703055964e+01,2.429555057064068713e+00,1.130468745200116532e+00
8.501000000000000778e-01,1.114844199718289097e+01,-5.044286063213533344e-01,1.095228299421202367e+00,1.166897380736109646e+01,2.319276510565518645e+00,1.173950275488006012e+00
8.601000000000000867e-01,1.143393287500955324e+01,-6.425767049581940782e-01,1.107254453721401743e+00,1.174135377210123110e+01,2.219865520555495131e+00,1.103497600218197983e+00
8.701000000000000956e-01,1.162568728380948890e+01,-5.359485819782862093e-01,1.118021811913372465e+00,1.196285088039592459e+01,2.038475641401924054e+00,1.109495958897269929e+00
8.800999999999999934e-01,1.163159739406757609e+01,-4.275588119147442079e-01,1.172259190018886121e+00,1.217667684701657826e+01,2.041245548430223877e+00,1.104856993565980217e+00
8.901000000000000023e-01,1.169112367870721059e+01,-3.159580043476793443e-01,1.104164538223313841e+00,1.222057289771466060e+01,2.146975689163112655e+00,1.173029133127484469e+00
9.001000000000000112e-01,1.187785627149218293e+01,-1.211443908386736351e-01,1.101915219924417766e+00,1.232723288983546794e+01,2.246873611334766707e+00,1.111194818755564251e+00
9.101000000000000201e-01,1.208799370012987673e+01,-7.363748701661979035e-02,1.092712051184290267e+00,1.255168656459125387e+01,2.365105658105339348e+00,1.113081565736712131e+00
9.201000000000000290e-01,1.214857122052305982e+01,-1.722417135690485490e-01,1.164537920541195426e+00,1.276975546393121697e+01,2.396598440557810239e+00,1.086883631044615273e+00
9.301000000000000378e-01,1.227562970262625619e+01,-2.610096183855780128e-01,1.109961484384019537e+00,1.281913434497768733e+01,2.280663517102496929e+00,1.170475163449725686e+00
9.401000000000000467e-01,1.250099164541749275e+01,-3.405422676112108138e-01,1.115105893290186723e+00,1.291415203445261106e+01,2.155957194441129321e+00,1.120590199754342597e+00
9.501000000000000556e-01,1.272446410880211509e+01,-3.636893543479094992e-01,1.085288529711385452e+00,1.307420579031291119e+01,2.041456197625666213e+00,1.096322046193551003e+00
9.601000000000000645e-01,1.276794017721441499e+01,-2.367044050986485126e-01,1.172806758939524574e+00,1.327175380834097496e+01,1.909441244502034785e+00,1.079638907681205851e+00
9.701000000000000734e-01,1.284295839916199178e+01,-1.007271528248732256e-01,1.125955528036398867e+00,1.338062053061026724e+01,2.019007073441526856e+00,1.161850276510398405e+00
9.801000000000000822e-01,1.297901499711482032e+01,1.979219694518955311e-02,1.094397904452077297e+00,1.348536880340389210e+01,2.134206418904645908e+00,1.133680385247549660e+00
9.901000000000000911e-01,1.315245982236047695e+01,1.889148536947953816e-01,1.083657540077768822e+00,1.363520007471927720e+01,2.203987217534420395e+00,1.089027524330633767e+00
