time_s,fly,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m,left_c_arbitrary_per_m3,right_c_arbitrary_per_m3,left_generic_rate_Hz,right_generic_rate_Hz,tarsal_food_contact
0.17200000000000001,fly_2,0.0027176094666775353,0.003013597823624707,0.0008911064684729959,0.0027078216750929156,0.0027996827496506835,0.0008651050025649991,30290065.040147483,32312379.02113799,24.13868410321801,24.96677281986665,0
0.17300000000000001,fly_1,0.0023890689281185437,-0.002121447736498766,0.0011101243179060737,0.002426146847637894,-0.002333767252141824,0.0011189099384302215,33761152.914800376,32515921.172576044,25.577669816255657,25.08869246570494,0
0.17300000000000001,fly_2,0.0027300056396807053,0.0030082817024490865,0.0008909783777131359,0.002719027406549773,0.0027942073972034437,0.0008668287152372598,30477069.69991826,32493680.22596358,24.212013909306265,25.032597413315905,0
0.17400000000000002,fly_1,0.002403914938001995,-0.002135786515221359,0.0011089721754540748,0.0024399466389005676,-0.0023483572919159148,0.0011158218026417212,33850419.87361446,32583059.506974794,25.598343738514146,25.100933106015567,0
0.17400000000000002,fly_2,0.0027434423222164037,0.003004210499106221,0.0008925055984855917,0.0027312199535663574,0.0027899454438836298,0.0008707654103120013,30658132.887117185,32667676.026868783,24.282029136430552,25.09462504911713,0
0.17500000000000002,fly_1,0.002418592277114952,-0.00214905820267155,0.0011054692330884632,0.0024538672345773113,-0.0023618069345617445,0.0011104882391577218,33953901.50750317,32668001.18321091,25.62537810502612,25.121404927283436,0
0.17500000000000002,fly_2,0.0027574833253218908,0.002999472033073836,0.0008957825662607425,0.002743778833561384,0.002785047248408385,0.0008766583775579015,30847153.705535546,32846245.714062132,24.355433126591446,25.158387122315276,0
0.17600000000000002,fly_1,0.0024327603476956903,-0.0021620678041166575,0.001100424268941038,0.0024673497863157904,-0.002374959264828219,0.0011039360574917282,34058503.16392861,32754043.680246443,25.652792949958567,25.142305222190107,0
0.17600000000000002,fly_2,0.002771830647345212,0.0029927452889135205,0.000900238775995669,0.0027562938005041893,0.0027782496954288803,0.0008834523906584158,31055838.690936055,33040467.375203382,24.437770720799065,25.228958112468845,0
0.17700000000000002,fly_1,0.002445532174662663,-0.0021750466261765775,0.0010943283127624681,0.002479410710655479,-0.002388068251035825,0.0010966879966586276,34150167.917176396,32826277.85054736,25.674241405780947,25.156738668262015,0
0.17700000000000002,fly_2,0.0027860363304124647,0.0029831600746211347,0.0009035339721812528,0.002768266420747033,0.002768700977103069,0.0008885987196223043,31295550.478409395,33261435.772891186,24.534318664170023,25.311331008822776,0
0.17800000000000002,fly_1,0.0024555727772626735,-0.0021878168989811772,0.00108719155476384,0.0024886973858696546,-0.0024009646627160077,0.0010887170337888624,34214604.18402156,32871223.566916253,25.68333695373574,25.15853246296461,0
0.17800000000000002,fly_2,0.0028000482555534147,0.0029712421340800928,0.0009046249268258936,0.0027797515594072714,0.0027569069037100906,0.0008912089246430472,31564283.22775028,33508037.504931122,24.643909244014004,25.404826544090202,0
0.17900000000000002,fly_1,0.002461735502124441,-0.00219994208316635,0.0010791195934998705,0.002494097213793313,-0.0024132106623419914,0.0010799963608831833,34241461.6671121,32880377.82760634,25.67551330843185,25.1438455407555,0
0.17900000000000002,fly_2,0.00281292636461203,0.0029586471742526163,0.0009037221898546313,0.002789989959595787,0.002744497008092972,0.0008916738030120763,31836176.10785495,33755325.47909441,24.754152619463262,25.497944709476993,0
0.18000000000000002,fly_1,0.0024635167923751245,-0.0022104293074620696,0.001070420666115966,0.0024952057747645324,-0.002423800400713672,0.001070768411022837,34231687.35542701,32856948.555734213,25.65128952883445,25.114232285442988,0
0.18000000000000002,fly_2,0.002823955596872524,0.002945592149450722,0.000901122415731338,0.0027983690372121684,0.00273166389152927,0.0008905600109757717,32101042.419083104,33992976.63619667,24.860258475481665,25.586019311429805,0
0.18100000000000002,fly_1,0.0024627081055950055,-0.0022201417813376987,0.0010626426627738529,0.002493838489255172,-0.0024335944571510257,0.0010632674572057278,34193728.15065836,32805970.356334925,25.614524057665736,25.072058813121394,0
0.18100000000000002,fly_2,0.002832507841943408,0.0029321272763629647,0.0008974189242152063,0.002804395963600564,0.0027184488423725233,0.0008883202918888297,32350013.35228756,34213540.028493576,24.958150868525802,25.66576610965871,0
0.182,fly_1,0.002468962035701855,-0.002221613612955833,0.0010664918887119876,0.0025006189356256035,-0.0024349835931589113,0.001068113061786194,34259083.61783078,32869588.33851649,25.624270246017076,25.082781534940754,0
0.182,fly_2,0.0028389354291070332,0.0029178447461399248,0.0008945300547656307,0.002808526950646915,0.0027044420897205743,0.0008863957669857582,32584435.986620113,34420998.972738534,25.048573818655605,25.739082993374407,0
0.183,fly_1,0.002484646119006197,-0.0022162576319894973,0.0010776368622662427,0.002517451619965074,-0.002429444323773901,0.0010802386923220006,34460857.86034244,33075117.167033646,25.69498215471681,25.15854089164236,0
0.183,fly_2,0.0028559581472340175,0.0029084971687446995,0.0009069284805471232,0.0028243833085858133,0.0026952803251483397,0.000898376104390416,32830273.717120044,34664074.990402535,25.143626378183402,25.82779923748219,0
0.184,fly_1,0.002509068256781104,-0.002210689503680841,0.0010884020789060146,0.0025428849759887005,-0.0024237072119650447,0.001091781638960373,34768518.21743063,33380040.43683055,25.81229221261407,25.279104807417195,0
0.184,fly_2,0.0028812005518616367,0.002902153746838333,0.000931190553914354,0.0028489737815258986,0.002689057202135733,0.0009220892421231418,33091658.72655221,34934520.87451592,25.245130887732078,25.928015473173904,0
0.185,fly_1,0.0025395160756319425,-0.0022070653226493515,0.0010954820214037386,0.0025742555840786653,-0.0024199337686580526,0.0010989065233384836,35147505.89011487,33752661.733386844,25.960112028886115,25.42932610151514,0
